rank,superfamily_scientific,family_scientific,family_common,subfamily_scientific,genus_scientific,species_scientific,species_common
species,geometroidea,geometridae,piadivkovité,larentiinae,plemyria,plemyria rubiginata,piadivka dvojfarebná
genus,geometroidea,geometridae,piadivkovité,larentiinae,cidaria,,
species,geometroidea,geometridae,piadivkovité,larentiinae,cidaria,cidaria fulvata,piadivka žltá
genus,geometroidea,geometridae,piadivkovité,larentiinae,electrophaes,,
species,geometroidea,geometridae,piadivkovité,larentiinae,electrophaes,electrophaes corylata,piadivka oriešková
genus,geometroidea,geometridae,piadivkovité,larentiinae,cosmorhoe,,
species,geometroidea,geometridae,piadivkovité,larentiinae,cosmorhoe,cosmorhoe ocellata,piadivka očkatá
genus,geometroidea,geometridae,piadivkovité,larentiinae,eustroma,,
species,geometroidea,geometridae,piadivkovité,larentiinae,eustroma,eustroma reticulata,piadivka mriežkovaná
genus,geometroidea,geometridae,piadivkovité,larentiinae,eulithis,,
species,geometroidea,geometridae,piadivkovité,larentiinae,eulithis,eulithis prunata,piadivka slivková
species,geometroidea,geometridae,piadivkovité,larentiinae,eulithis,eulithis testata,piadivka mokraďová
species,geometroidea,geometridae,piadivkovité,larentiinae,eulithis,eulithis populata,piadivka okrová
species,geometroidea,geometridae,piadivkovité,larentiinae,eulithis,eulithis mellinata,piadivka ríbezľová
genus,geometroidea,geometridae,piadivkovité,larentiinae,gandaritis,,
species,geometroidea,geometridae,piadivkovité,larentiinae,gandaritis,gandaritis pyraliata,piadivka marinková
genus,geometroidea,geometridae,piadivkovité,larentiinae,ecliptopera,,
species,geometroidea,geometridae,piadivkovité,larentiinae,ecliptopera,ecliptopera capitata,piadivka žltohlavá
species,geometroidea,geometridae,piadivkovité,larentiinae,ecliptopera,ecliptopera silaceata,piadivka hnedohlavá
genus,geometroidea,geometridae,piadivkovité,larentiinae,chloroclysta,,
species,geometroidea,geometridae,piadivkovité,larentiinae,chloroclysta,chloroclysta siterata,piadivka lipová
species,geometroidea,geometridae,piadivkovité,larentiinae,chloroclysta,chloroclysta miata,piadivka dubová
genus,geometroidea,geometridae,piadivkovité,larentiinae,dysstroma,,
species,geometroidea,geometridae,piadivkovité,larentiinae,dysstroma,dysstroma citrata,piadivka jahodníková
species,geometroidea,geometridae,piadivkovité,larentiinae,dysstroma,dysstroma truncata,piadivka čučoriedková
species,geometroidea,geometridae,piadivkovité,larentiinae,dysstroma,dysstroma infuscata,piadivka boreálna
genus,geometroidea,geometridae,piadivkovité,larentiinae,colostygia,,
species,geometroidea,geometridae,piadivkovité,larentiinae,colostygia,colostygia aptata,piadivka alpská
species,geometroidea,geometridae,piadivkovité,larentiinae,colostygia,colostygia olivata,piadivka olivovozelená
species,geometroidea,geometridae,piadivkovité,larentiinae,colostygia,colostygia pectinataria,piadivka hluchavková
species,geometroidea,geometridae,piadivkovité,larentiinae,colostygia,colostygia aqueata,piadivka čakanková
species,geometroidea,geometridae,piadivkovité,larentiinae,colostygia,colostygia turbata,piadivka vysokohorská
species,geometroidea,geometridae,piadivkovité,larentiinae,colostygia,colostygia kollariaria,piadivka Kollarova
species,geometroidea,geometridae,piadivkovité,larentiinae,colostygia,colostygia austriacaria,piadivka rakúska
genus,geometroidea,geometridae,piadivkovité,larentiinae,coenotephria,,
species,geometroidea,geometridae,piadivkovité,larentiinae,coenotephria,coenotephria salicata,piadivka vrchovská
species,geometroidea,geometridae,piadivkovité,larentiinae,coenotephria,coenotephria tophaceata,piadivka údolná
genus,geometroidea,geometridae,piadivkovité,larentiinae,nebula,,
species,geometroidea,geometridae,piadivkovité,larentiinae,nebula,nebula nebulata,piadivka zahmlená
species,geometroidea,geometridae,piadivkovité,larentiinae,nebula,nebula achromaria,piadivka bezfarebná
genus,geometroidea,geometridae,piadivkovité,larentiinae,lampropteryx,,
species,geometroidea,geometridae,piadivkovité,larentiinae,lampropteryx,lampropteryx suffumata,piadivka zadymená
species,geometroidea,geometridae,piadivkovité,larentiinae,lampropteryx,lampropteryx otregiata,piadivka anglická
subfamily,geometroidea,geometridae,piadivkovité,larentiinae,,,
genus,geometroidea,geometridae,piadivkovité,larentiinae,operophtera,,
species,geometroidea,geometridae,piadivkovité,larentiinae,operophtera,operophtera fagata,jesenica buková
species,geometroidea,geometridae,piadivkovité,larentiinae,operophtera,operophtera brumata,jesenica jesenná
genus,geometroidea,geometridae,piadivkovité,larentiinae,epirrita,,
species,geometroidea,geometridae,piadivkovité,larentiinae,epirrita,epirrita dilutata,jesenica liesková
species,geometroidea,geometridae,piadivkovité,larentiinae,epirrita,epirrita christyi,jesenica Christyho
species,geometroidea,geometridae,piadivkovité,larentiinae,epirrita,epirrita autumnata,jesenica vŕbová
subfamily,geometroidea,geometridae,piadivkovité,larentiinae,,,
genus,geometroidea,geometridae,piadivkovité,larentiinae,baptria,,
species,geometroidea,geometridae,piadivkovité,larentiinae,baptria,baptria tibiale,semenovka samorastlíková
subfamily,geometroidea,geometridae,piadivkovité,larentiinae,,,
genus,geometroidea,geometridae,piadivkovité,larentiinae,rheumaptera,,
species,geometroidea,geometridae,piadivkovité,larentiinae,rheumaptera,rheumaptera hastata,piadivka oštepovitá
species,geometroidea,geometridae,piadivkovité,larentiinae,rheumaptera,rheumaptera subhastata,piadivka škvrnitá
genus,geometroidea,geometridae,piadivkovité,larentiinae,hydria,,
species,geometroidea,geometridae,piadivkovité,larentiinae,hydria,hydria undulata,piadivka pruhovaná
species,geometroidea,geometridae,piadivkovité,larentiinae,hydria,hydria cervinalis,piadivka jelenia
subfamily,geometroidea,geometridae,piadivkovité,larentiinae,,,
genus,geometroidea,geometridae,piadivkovité,larentiinae,philereme,,
species,geometroidea,geometridae,piadivkovité,larentiinae,philereme,philereme vetulata,piadivka rešetliaková
species,geometroidea,geometridae,piadivkovité,larentiinae,philereme,philereme transversata,piadivka krušinová
subfamily,geometroidea,geometridae,piadivkovité,larentiinae,,,
genus,geometroidea,geometridae,piadivkovité,larentiinae,triphosa,,
species,geometroidea,geometridae,piadivkovité,larentiinae,triphosa,triphosa dubitata,piadivka jaskynná
genus,geometroidea,geometridae,piadivkovité,larentiinae,pareulype,,
species,geometroidea,geometridae,piadivkovité,larentiinae,pareulype,pareulype berberata,piadivka dráčová
subfamily,geometroidea,geometridae,piadivkovité,larentiinae,,,
genus,geometroidea,geometridae,piadivkovité,larentiinae,coenocalpe,,
species,geometroidea,geometridae,piadivkovité,larentiinae,coenocalpe,coenocalpe lapidata,piadivka poniklecová
genus,geometroidea,geometridae,piadivkovité,larentiinae,horisme,,
species,geometroidea,geometridae,piadivkovité,larentiinae,horisme,horisme vitalbata,piadivka plotová
species,geometroidea,geometridae,piadivkovité,larentiinae,horisme,horisme corticata,piadivka kôrová
species,geometroidea,geometridae,piadivkovité,larentiinae,horisme,horisme tersata,piadivka vlašská
species,geometroidea,geometridae,piadivkovité,larentiinae,horisme,horisme radicaria,piadivka pestrá
species,geometroidea,geometridae,piadivkovité,larentiinae,horisme,horisme aemulata,piadivka napodobňujúca
genus,geometroidea,geometridae,piadivkovité,larentiinae,melanthia,,
species,geometroidea,geometridae,piadivkovité,larentiinae,melanthia,melanthia procellata,piadivka zimozeleňová
species,geometroidea,geometridae,piadivkovité,larentiinae,melanthia,melanthia alaudaria,piadivka podhorská
subfamily,geometroidea,geometridae,piadivkovité,larentiinae,,,
genus,geometroidea,geometridae,piadivkovité,larentiinae,mesotype,,
species,geometroidea,geometridae,piadivkovité,larentiinae,mesotype,mesotype didymata,semenovka dvojškvrnná
species,geometroidea,geometridae,piadivkovité,larentiinae,mesotype,mesotype parallelolineata,semenovka púpavová
species,geometroidea,geometridae,piadivkovité,larentiinae,mesotype,mesotype verberata,semenovka smreková
genus,geometroidea,geometridae,piadivkovité,larentiinae,perizoma,,
species,geometroidea,geometridae,piadivkovité,larentiinae,perizoma,perizoma affinitata,semenovka knôtovková
species,geometroidea,geometridae,piadivkovité,larentiinae,perizoma,perizoma alchemillata,semenovka konopnicová
species,geometroidea,geometridae,piadivkovité,larentiinae,perizoma,perizoma hydrata,semenovka silenková
species,geometroidea,geometridae,piadivkovité,larentiinae,perizoma,perizoma lugdunaria,semenovka naduticová
species,geometroidea,geometridae,piadivkovité,larentiinae,perizoma,perizoma bifaciata,semenovka zúbkokvetová
species,geometroidea,geometridae,piadivkovité,larentiinae,perizoma,perizoma minorata,semenovka menšia
species,geometroidea,geometridae,piadivkovité,larentiinae,perizoma,perizoma blandiata,semenovka očianková
species,geometroidea,geometridae,piadivkovité,larentiinae,perizoma,perizoma albulata,semenovka štrkáčová
species,geometroidea,geometridae,piadivkovité,larentiinae,perizoma,perizoma flavofasciata,semenovka žltopásavá
species,geometroidea,geometridae,piadivkovité,larentiinae,perizoma,perizoma obsoletata,semenovka horcová
species,geometroidea,geometridae,piadivkovité,larentiinae,perizoma,perizoma incultaria,semenovka prvosienková
genus,geometroidea,geometridae,piadivkovité,larentiinae,martania,,
species,geometroidea,geometridae,piadivkovité,larentiinae,martania,martania taeniata,semenovka kuričková
genus,geometroidea,geometridae,piadivkovité,larentiinae,gagitodes,,
species,geometroidea,geometridae,piadivkovité,larentiinae,gagitodes,gagitodes sagittata,semenovka žltušková
subfamily,geometroidea,geometridae,piadivkovité,larentiinae,,,
genus,geometroidea,geometridae,piadivkovité,larentiinae,gymnoscelis,,
species,geometroidea,geometridae,piadivkovité,larentiinae,gymnoscelis,gymnoscelis rufifasciata,kvetnatka malá
genus,geometroidea,geometridae,piadivkovité,larentiinae,chloroclystis,,
species,geometroidea,geometridae,piadivkovité,larentiinae,chloroclystis,chloroclystis v-ata,kvetnatka bazová
genus,geometroidea,geometridae,piadivkovité,larentiinae,pasiphila,,
species,geometroidea,geometridae,piadivkovité,larentiinae,pasiphila,pasiphila chloerata,kvetnatka trnková
species,geometroidea,geometridae,piadivkovité,larentiinae,pasiphila,pasiphila rectangulata,kvetnatka sadová
species,geometroidea,geometridae,piadivkovité,larentiinae,pasiphila,pasiphila debiliata,kvetnatka čučoriedková
genus,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,,
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia haworthiata,kvetnatka Haworthova
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia tenuiata,kvetnatka vŕbová
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia inturbata,kvetnatka javorová
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia abietaria,kvetnatka šišková
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia analoga,kvetnatka hálková
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia linariata,kvetnatka pyšteková
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia pyreneata,kvetnatka náprstníková
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia laquaearia,kvetnatka zúbkokvetová
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia plumbeolata,kvetnatka čermeľová
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia pygmaeata,kvetnatka mäkkuľová
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia undata,kvetnatka alpínska
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia silenata,kvetnatka silenková
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia venosata,kvetnatka knôtovková
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia schiefereri,kvetnatka Schieferova
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia silenicolata,kvetnatka silenkožravá
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia alliaria,kvetnatka cesnaková
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia dissertata,kvetnatka sibírska
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia abbreviata,kvetnatka dúbravová
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia dodoneata,kvetnatka dubová
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia pusillata,kvetnatka čiarkovaná
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia ericeata,kvetnatka jesenná
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia tripunctaria,kvetnatka trojbodá
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia virgaureata,zlatobyľová
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia tantillaria,borovicová
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia lariciata,smrekovcová
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia lanceata,smrečinová
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia selinata,olšovníková
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia actaeata,samorastlíková
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia egenaria,lipová
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia pimpinellata,bedrovníková
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia simpliciata,mrlíková
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia sinuosaria,kvetnatka východná
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia nanata,kvetnatka vresová
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia innotata,kvetnatka úzkokrídla
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia ochridata,kvetnatka panónska
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia graphata,kvetnatka kuričková
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia indigata,kvetnatka smreková
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia distinctaria,kvetnatka dúšková
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia extraversaria,kvetnatka smldníková
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia centaureata,kvetnatka zvončeková
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia insigniata,kvetnatka ovocná
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia trisignaria,kvetnatka boľševníková
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia gueneata,kvetnatka Guenéeho
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia veratraria,kvetnatka kýchavicová
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia intricata,kvetnatka borievková
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia satyrata,kvetnatka horcová
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia absinthiata,kvetnatka palinová
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia expallidata,kvetnatka veľká
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia valerianata,kvetnatka valeriánová
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia assimilata,kvetnatka chmeľová
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia vulgata,kvetnatka rozchodníková
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia immundata,kvetnatka lesná
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia addictata,kvetnatka kórejská
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia exiguata,kvetnatka dráčová
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia denotata,kvetnatka semeníková
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia pauxillaria,kvetnatka očianková
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia millefoliata,kvetnatka rebríčková
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia icterata,kvetnatka vratičová
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia succenturiata,kvetnatka divozelová
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia semigraphata,kvetnatka dúšovková
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia impurata,kvetnatka skalisková
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia denticulata,kvetnatka ihlicová
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia subumbrata,kvetnatka hlaváčová
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia orphnata,kvetnatka ľubovníková
species,geometroidea,geometridae,piadivkovité,larentiinae,eupithecia,eupithecia subfuscata,kvetnatka obyčajná
superfamily,noctuoidea,,,,,,
family,noctuoidea,notodontidae,chochlatkovité,,,,
subfamily,noctuoidea,notodontidae,chochlatkovité,thaumetopoeinae,,,
genus,noctuoidea,notodontidae,chochlatkovité,thaumetopoeinae,thaumetopoea,,
species,noctuoidea,notodontidae,chochlatkovité,thaumetopoeinae,thaumetopoea,thaumetopoea processionea,priadkovček dubový
subfamily,noctuoidea,notodontidae,chochlatkovité,pygaerinae,,,
genus,noctuoidea,notodontidae,chochlatkovité,pygaerinae,clostera,,
species,noctuoidea,notodontidae,chochlatkovité,pygaerinae,clostera,clostera curtula,chochlatka hnedoškvrnná
species,noctuoidea,notodontidae,chochlatkovité,pygaerinae,clostera,clostera pigra,chochlatka najmenšia
species,noctuoidea,notodontidae,chochlatkovité,pygaerinae,clostera,clostera anachoreta,chochlatka vrbinová
species,noctuoidea,notodontidae,chochlatkovité,pygaerinae,clostera,clostera anastomosis,chochlatka lindová
subfamily,noctuoidea,notodontidae,chochlatkovité,notodontinae,,,
genus,noctuoidea,notodontidae,chochlatkovité,notodontinae,notodonta,,
species,noctuoidea,notodontidae,chochlatkovité,notodontinae,notodonta,notodonta dromedarius,chochlatka jelšová
species,noctuoidea,notodontidae,chochlatkovité,notodontinae,notodonta,notodonta torva,chochlatka tmavá
species,noctuoidea,notodontidae,chochlatkovité,notodontinae,notodonta,notodonta tritophus,chochlatka topoľová
species,noctuoidea,notodontidae,chochlatkovité,notodontinae,notodonta,notodonta ziczac,chochlatka vŕbová
genus,noctuoidea,notodontidae,chochlatkovité,notodontinae,drymonia,,
species,noctuoidea,notodontidae,chochlatkovité,notodontinae,drymonia,drymonia dodonaea,chochlatka hnedá
species,noctuoidea,notodontidae,chochlatkovité,notodontinae,drymonia,drymonia ruficornis,chochlatka dubová
species,noctuoidea,notodontidae,chochlatkovité,notodontinae,drymonia,drymonia obliterata,chochlatka buková
species,noctuoidea,notodontidae,chochlatkovité,notodontinae,drymonia,drymonia querna,chochlatka dubinová
species,noctuoidea,notodontidae,chochlatkovité,notodontinae,drymonia,drymonia velitaris,chochlatka južná
genus,noctuoidea,notodontidae,chochlatkovité,notodontinae,pheosia,,
species,noctuoidea,notodontidae,chochlatkovité,notodontinae,pheosia,pheosia tremula,chochlatka osiková
species,noctuoidea,notodontidae,chochlatkovité,notodontinae,pheosia,pheosia gnoma,chochlatka brezová
genus,noctuoidea,notodontidae,chochlatkovité,notodontinae,pterostoma,,
species,noctuoidea,notodontidae,chochlatkovité,notodontinae,pterostoma,pterostoma palpina,chochlatka dvojzúbková
genus,noctuoidea,notodontidae,chochlatkovité,notodontinae,ptilophora,,
species,noctuoidea,notodontidae,chochlatkovité,notodontinae,ptilophora,ptilophora plumigera,chochlatka javorová
genus,noctuoidea,notodontidae,chochlatkovité,notodontinae,leucodonta,,
species,noctuoidea,notodontidae,chochlatkovité,notodontinae,leucodonta,leucodonta bicoloria,chochlatka dvojfarebná
genus,noctuoidea,notodontidae,chochlatkovité,notodontinae,ptilodon,,
species,noctuoidea,notodontidae,chochlatkovité,notodontinae,ptilodon,ptilodon capucina,chochlatka jelšinová
species,noctuoidea,notodontidae,chochlatkovité,notodontinae,ptilodon,ptilodon cucullina,chochlatka brekyňová
genus,noctuoidea,notodontidae,chochlatkovité,notodontinae,odontosia,,
species,noctuoidea,notodontidae,chochlatkovité,notodontinae,odontosia,odontosia carmelita,chochlatka karmelitánska
species,noctuoidea,notodontidae,chochlatkovité,notodontinae,odontosia,odontosia sieversii,chochlatka Sieversova
genus,noctuoidea,notodontidae,chochlatkovité,notodontinae,gluphisia,,
species,noctuoidea,notodontidae,chochlatkovité,notodontinae,gluphisia,gluphisia crenata,chochlatka šedá
subfamily,noctuoidea,notodontidae,chochlatkovité,notodontinae,,,
genus,noctuoidea,notodontidae,chochlatkovité,notodontinae,cerura,,
species,noctuoidea,notodontidae,chochlatkovité,notodontinae,cerura,cerura erminea,hranostajník biely
species,noctuoidea,notodontidae,chochlatkovité,notodontinae,cerura,cerura vinula,hranostajník vŕbový
genus,noctuoidea,notodontidae,chochlatkovité,notodontinae,furcula,,
species,noctuoidea,notodontidae,chochlatkovité,notodontinae,furcula,furcula furcula,hranostajník rakytový
species,noctuoidea,notodontidae,chochlatkovité,notodontinae,furcula,furcula bicuspis,hranostajník brezový
species,noctuoidea,notodontidae,chochlatkovité,notodontinae,furcula,furcula bifida,hranostajník osikový
genus,noctuoidea,notodontidae,chochlatkovité,notodontinae,dicranura,,
species,noctuoidea,notodontidae,chochlatkovité,notodontinae,dicranura,dicranura ulmi,chochlatka brestová
subfamily,noctuoidea,notodontidae,chochlatkovité,phalerinae,,,
genus,noctuoidea,notodontidae,chochlatkovité,phalerinae,phalera,,
species,noctuoidea,notodontidae,chochlatkovité,phalerinae,phalera,phalera bucephala,faléra lipová
species,noctuoidea,notodontidae,chochlatkovité,phalerinae,phalera,phalera bucephaloides,faléra dubová
genus,noctuoidea,notodontidae,chochlatkovité,phalerinae,peridea,,
species,noctuoidea,notodontidae,chochlatkovité,phalerinae,peridea,peridea anceps,faléra veľká
subfamily,noctuoidea,notodontidae,chochlatkovité,heterocampinae,,,
genus,noctuoidea,notodontidae,chochlatkovité,heterocampinae,stauropus,,
species,noctuoidea,notodontidae,chochlatkovité,heterocampinae,stauropus,stauropus fagi,hranostajník bukový
genus,noctuoidea,notodontidae,chochlatkovité,heterocampinae,harpyia,,
species,noctuoidea,notodontidae,chochlatkovité,heterocampinae,harpyia,harpyia milhauseri,chochlatka Milhauserova
genus,noctuoidea,notodontidae,chochlatkovité,heterocampinae,spatalia,,
species,noctuoidea,notodontidae,chochlatkovité,heterocampinae,spatalia,spatalia argentina,chochlatka striebroškvrnná
family,noctuoidea,erebidae,chlpatkovité,,,,
subfamily,noctuoidea,erebidae,chlpatkovité,scoliopteryginae,,,
genus,noctuoidea,erebidae,chlpatkovité,scoliopteryginae,scoliopteryx,,
species,noctuoidea,erebidae,chlpatkovité,scoliopteryginae,scoliopteryx,scoliopteryx libatrix,mora pivničná
subfamily,noctuoidea,erebidae,chlpatkovité,rivulinae,,,
genus,noctuoidea,erebidae,chlpatkovité,rivulinae,rivula,,
species,noctuoidea,erebidae,chlpatkovité,rivulinae,rivula,rivula sericealis,pamora trávová
subfamily,noctuoidea,erebidae,chlpatkovité,hypeninae,,,
genus,noctuoidea,erebidae,chlpatkovité,hypeninae,hypena,,
species,noctuoidea,erebidae,chlpatkovité,hypeninae,hypena,hypena proboscidalis,pamora žihľavová
species,noctuoidea,erebidae,chlpatkovité,hypeninae,hypena,hypena rostralis,pamora chmeľová
species,noctuoidea,erebidae,chlpatkovité,hypeninae,hypena,hypena obesalis,pamora hluchavková
species,noctuoidea,erebidae,chlpatkovité,hypeninae,hypena,hypena crassalis,pamora čučoriedková
subfamily,noctuoidea,erebidae,chlpatkovité,lymantriinae,,,
genus,noctuoidea,erebidae,chlpatkovité,lymantriinae,arctornis,,
species,noctuoidea,erebidae,chlpatkovité,lymantriinae,arctornis,arctornis l-nigrum,mníška čierne L
genus,noctuoidea,erebidae,chlpatkovité,lymantriinae,leucoma,,
species,noctuoidea,erebidae,chlpatkovité,lymantriinae,leucoma,leucoma salicis,mníška vŕbová
genus,noctuoidea,erebidae,chlpatkovité,lymantriinae,lymantria,,
species,noctuoidea,erebidae,chlpatkovité,lymantriinae,lymantria,lymantria dispar,mníška veľkohlavá
species,noctuoidea,erebidae,chlpatkovité,lymantriinae,lymantria,lymantria monacha,mníška obyčajná
genus,noctuoidea,erebidae,chlpatkovité,lymantriinae,ocneria,,
species,noctuoidea,erebidae,chlpatkovité,lymantriinae,ocneria,ocneria rubea,mníška okrová
species,noctuoidea,erebidae,chlpatkovité,lymantriinae,ocneria,ocneria detrita,mníška dubová
subfamily,noctuoidea,erebidae,chlpatkovité,lymantriinae,,,
genus,noctuoidea,erebidae,chlpatkovité,lymantriinae,euproctis,,
species,noctuoidea,erebidae,chlpatkovité,lymantriinae,euproctis,euproctis chrysorrhoea,mníška zlatoritka
genus,noctuoidea,erebidae,chlpatkovité,lymantriinae,sphrageidus,,
species,noctuoidea,erebidae,chlpatkovité,lymantriinae,sphrageidus,sphrageidus similis,mníška pižmová
genus,noctuoidea,erebidae,chlpatkovité,lymantriinae,laelia,,
species,noctuoidea,erebidae,chlpatkovité,lymantriinae,laelia,laelia coenosa,štetinavec trsťový
genus,noctuoidea,erebidae,chlpatkovité,lymantriinae,calliteara,,
species,noctuoidea,erebidae,chlpatkovité,lymantriinae,calliteara,calliteara pudibunda,štetinavec orechový
species,noctuoidea,erebidae,chlpatkovité,lymantriinae,calliteara,calliteara abietis,štetinavec smrekový
genus,noctuoidea,erebidae,chlpatkovité,lymantriinae,gynaephora,,
species,noctuoidea,erebidae,chlpatkovité,lymantriinae,gynaephora,gynaephora fascelina,štetinavec ďatelinový
genus,noctuoidea,erebidae,chlpatkovité,lymantriinae,orgyia,,
species,noctuoidea,erebidae,chlpatkovité,lymantriinae,orgyia,orgyia recens,štetinavec čučoriedkový
species,noctuoidea,erebidae,chlpatkovité,lymantriinae,orgyia,orgyia antiqua,štetinavec trnkový
genus,noctuoidea,erebidae,chlpatkovité,lymantriinae,penthophera,,
species,noctuoidea,erebidae,chlpatkovité,lymantriinae,penthophera,penthophera morio,smutník trávový
subfamily,noctuoidea,erebidae,chlpatkovité,arctiinae,,,
genus,noctuoidea,erebidae,chlpatkovité,arctiinae,ocnogyna,,
species,noctuoidea,erebidae,chlpatkovité,arctiinae,ocnogyna,ocnogyna parasita,spriadač marcový
genus,noctuoidea,erebidae,chlpatkovité,arctiinae,watsonarctia,,
species,noctuoidea,erebidae,chlpatkovité,arctiinae,watsonarctia,watsonarctia deserta,spriadač marinkový
genus,noctuoidea,erebidae,chlpatkovité,arctiinae,phragmatobia,,
species,noctuoidea,erebidae,chlpatkovité,arctiinae,phragmatobia,phragmatobia fuliginosa,spriadač štiavcový
genus,noctuoidea,erebidae,chlpatkovité,arctiinae,epatolmis,,
species,noctuoidea,erebidae,chlpatkovité,arctiinae,epatolmis,epatolmis luctifera,spriadač smútočný
genus,noctuoidea,erebidae,chlpatkovité,arctiinae,spilarctia,,
species,noctuoidea,erebidae,chlpatkovité,arctiinae,spilarctia,spilarctia lutea,spriadač bazový
genus,noctuoidea,erebidae,chlpatkovité,arctiinae,spilosoma,,
species,noctuoidea,erebidae,chlpatkovité,arctiinae,spilosoma,spilosoma lubricipeda,spriadač obyčajný
species,noctuoidea,erebidae,chlpatkovité,arctiinae,spilosoma,spilosoma urticae,spriadač žihľavový
genus,noctuoidea,erebidae,chlpatkovité,arctiinae,hyphantria,,
species,noctuoidea,erebidae,chlpatkovité,arctiinae,hyphantria,hyphantria cunea,spriadač americký
genus,noctuoidea,erebidae,chlpatkovité,arctiinae,diaphora,,
