id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
86074,kôstkovité,sk,"","",,Slovak,Marek Hrušovský,2025-07-14T21:41:31Z
92157,kôstka,sk,"","",,Slovak,Marek Hrušovský,2025-07-14T21:42:13Z
151736,kôstka bahenná,sk,"","",,Slovak,Marek Hrušovský,2025-07-14T21:42:57Z
338161,kôstka čerešňová,sk,"","",,Slovak,Marek Hrušovský,2025-07-14T21:43:30Z
151744,kôstka riečna,sk,"","",,Slovak,Marek Hrušovský,2025-07-14T21:44:17Z
151745,kôstka rebierková,sk,"","",,Slovak,Marek Hrušovský,2025-07-14T21:45:05Z
83949,kôstka,sk,"","",,Slovak,Marek Hrušovský,2025-07-14T21:45:37Z
225302,kôstka pupáčiková,sk,"","",,Slovak,Marek Hrušovský,2025-07-14T21:46:10Z
91094,hrachovka,sk,"","",,Slovak,Marek Hrušovský,2025-07-14T21:46:59Z
228158,hrachovka nížinná,sk,"","",,Slovak,Marek Hrušovský,2025-07-14T21:48:22Z
149998,hrachovka,sk,"","",,Slovak,Marek Hrušovský,2025-07-14T21:49:35Z
991397,hrachovka potočná,sk,"","",,Slovak,Marek Hrušovský,2025-07-14T21:50:29Z
1463276,hrachovka bachratá,sk,"","",,Slovak,Marek Hrušovský,2025-07-14T21:51:03Z
1404699,hrachovka hrboľčeková,sk,"","",,Slovak,Marek Hrušovský,2025-07-14T21:51:42Z
534850,korbikulovité,sk,"","",,Slovak,Marek Hrušovský,2025-07-14T21:53:02Z
84029,perlorodkovité,sk,"","",,Slovak,Marek Hrušovský,2025-07-14T21:54:33Z
89744,perlorodka,sk,"","",,Slovak,Marek Hrušovský,2025-07-14T21:55:18Z
105212,perlorodka riečna,sk,"","",,Slovak,Marek Hrušovský,2025-07-14T21:55:44Z
51903,korýtkovité,sk,"","",,Slovak,Marek Hrušovský,2025-07-14T21:56:20Z
92738,korýtko,sk,"","",,Slovak,Marek Hrušovský,2025-07-14T21:56:48Z
151758,korýtko maliarske,sk,"","",,Slovak,Marek Hrušovský,2025-07-14T21:57:16Z
1559687,okruh korýtka riečneho,sk,"","",,Slovak,Marek Hrušovský,2025-07-14T21:57:43Z
114771,korýtko riečne,sk,"","",,Slovak,Marek Hrušovský,2025-07-14T21:58:10Z
86482,škľabka,sk,"","",,Slovak,Marek Hrušovský,2025-07-14T22:43:42Z
151515,škľabka riečna,sk,"","",,Slovak,Marek Hrušovský,2025-07-14T22:44:06Z
151517,škľabka rybničná,sk,"","",,Slovak,Marek Hrušovský,2025-07-14T22:44:39Z
91401,škľabka,sk,"","",,Slovak,Marek Hrušovský,2025-07-14T22:45:07Z
