rank,order_scientific,order_common,infraorder_scientific,infraorder_common,superfamily_scientific,superfamily_common,family_scientific,family_common,genus_scientific,genus_common,species_scientific,species_common
species,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,,,tettigoniidae,,metrioptera,kobylôčka,metrioptera tesselata,kobylôčka suchomilná
species,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,,,tettigoniidae,,metrioptera,kobylôčka,metrioptera vittata,kobylôčka najmenšia
species,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,,,tettigoniidae,,metrioptera,kobylôčka,metrioptera montana,kobylôčka zelenkastokrídla
genus,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,,,tettigoniidae,,saga,sága,,
species,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,,,tettigoniidae,,saga,sága,saga pedo,sága stepná
family,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,,,ephippigeridae,sedlovkovité,,,,
genus,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,,,ephippigeridae,sedlovkovité,ephippigera,sedlovka,,
species,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,,,ephippigeridae,sedlovkovité,ephippigera,sedlovka,ephippigera chlippiger,sedlovka bronzová
superfamily,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,gryllacridoidea,kobylkovce,,,,,,
family,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,gryllacridoidea,kobylkovce,rhaphidophoridae,kobylkovcovité,,,,
genus,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,gryllacridoidea,kobylkovce,rhaphidophoridae,kobylkovcovité,troglophilus,kobylkovec,,
species,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,gryllacridoidea,kobylkovce,rhaphidophoridae,kobylkovcovité,troglophilus,kobylkovec,troglophilus neglectus,kobylkovec jaskynný
genus,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,gryllacridoidea,kobylkovce,rhaphidophoridae,kobylkovcovité,tachycines,kobylkovec,,
species,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,gryllacridoidea,kobylkovce,rhaphidophoridae,kobylkovcovité,tachycines,kobylkovec,tachycines asynamorus,kobylkovec skleníkový
superfamily,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,grylloidea,svrčky,,,,,,
family,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,grylloidea,svrčky,gryllidae,svrčkovité,,,,
genus,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,grylloidea,svrčky,gryllidae,svrčkovité,gryllus,svrček,,
species,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,grylloidea,svrčky,gryllidae,svrčkovité,gryllus,svrček,gryllus campestris,svrček poľný
genus,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,grylloidea,svrčky,gryllidae,svrčkovité,gryllulus,svrček,,
species,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,grylloidea,svrčky,gryllidae,svrčkovité,gryllulus,svrček,gryllulus desertus,svrček stepný
species,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,grylloidea,svrčky,gryllidae,svrčkovité,gryllulus,svrček,gryllulus domesticus,svrček domový
species,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,grylloidea,svrčky,gryllidae,svrčkovité,gryllulus,svrček,gryllulus frontalis,svrček malý
genus,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,grylloidea,svrčky,gryllidae,svrčkovité,nemobius,svrček,,
species,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,grylloidea,svrčky,gryllidae,svrčkovité,nemobius,svrček,nemobius sylvestris,svrček dúbravový
family,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,grylloidea,svrčky,myrmecophilidae,svrčíkovité,,,,
genus,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,grylloidea,svrčky,myrmecophilidae,svrčíkovité,myrmecophila,svrčík,,
species,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,grylloidea,svrčky,myrmecophilidae,svrčíkovité,myrmecophila,svrčík,myrmecophila acervorum,svrčík mraveniskový
family,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,grylloidea,svrčky,oecanthidae,jesienkovité,,,,
genus,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,grylloidea,svrčky,oecanthidae,jesienkovité,oecanthus,jesienka,,
species,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,grylloidea,svrčky,oecanthidae,jesienkovité,oecanthus,jesienka,oecanthus pellucens,jesienka spevavá
family,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,grylloidea,svrčky,gryllotalpidae,medvedíkovité,,,,
genus,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,grylloidea,svrčky,gryllotalpidae,medvedíkovité,gryllotalpa,medvedík,,
species,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,grylloidea,svrčky,gryllotalpidae,medvedíkovité,gryllotalpa,medvedík,gryllotalpa gryllotalpa,medvedík obyčajný
superfamily,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,tridactyloidea,pasvrčky,,,,,,
family,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,tridactyloidea,pasvrčky,tridactylidae,pasvrčkovité,,,,
genus,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,tridactyloidea,pasvrčky,tridactylidae,pasvrčkovité,tridactylus,pasvrček,,
species,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,tridactyloidea,pasvrčky,tridactylidae,pasvrčkovité,tridactylus,pasvrček,tridactylus variegatus,pasvrček pieskový
superfamily,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,acridoidea,koníky,,,,,,
family,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,acridoidea,koníky,tetrigidae,koníčkovité,,,,
genus,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,acridoidea,koníky,tetrigidae,koníčkovité,tetrix,koníček,,
species,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,acridoidea,koníky,tetrigidae,koníčkovité,tetrix,koníček,tetrix subulata,koníček močiarny
species,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,acridoidea,koníky,tetrigidae,koníčkovité,tetrix,koníček,tetrix bipunctata,koníček dvojbodkový
family,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,acridoidea,koníky,catantopidae,koníkovité,,,,
genus,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,acridoidea,koníky,catantopidae,koníkovité,anacridium,koník,,
species,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,acridoidea,koníky,catantopidae,koníkovité,anacridium,koník,anacridium aegyptium,koník egyptský
genus,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,acridoidea,koníky,catantopidae,koníkovité,podisma,koník,,
species,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,acridoidea,koníky,catantopidae,koníkovité,podisma,koník,podisma pedestris,koník belasonohý
genus,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,acridoidea,koníky,catantopidae,koníkovité,miramella,koník,,
species,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,acridoidea,koníky,catantopidae,koníkovité,miramella,koník,miramella alpina,koník vrchovský
genus,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,acridoidea,koníky,catantopidae,koníkovité,schistocerca,koník,,
species,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,acridoidea,koníky,catantopidae,koníkovité,schistocerca,koník,schistocerca gregaria,koník kŕdľový
genus,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,acridoidea,koníky,catantopidae,koníkovité,calliptamus,koník,,
species,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,acridoidea,koníky,catantopidae,koníkovité,calliptamus,koník,calliptamus italicus,koník ružovokrídly
family,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,acridoidea,koníky,acrididae,koníkovité,,,,
genus,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,acridoidea,koníky,acrididae,koníkovité,psophus,koník,,
species,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,acridoidea,koníky,acrididae,koníkovité,psophus,koník,psophus stridulus,koník červenokrídly
genus,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,acridoidea,koníky,acrididae,koníkovité,oedaleus,koník,,
species,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,acridoidea,koníky,acrididae,koníkovité,oedaleus,koník,oedaleus decorus,koník čiernopásy
genus,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,acridoidea,koníky,acrididae,koníkovité,locusta,koník,,
species,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,acridoidea,koníky,acrididae,koníkovité,locusta,koník,locusta migratoria,koník sťahovavý
genus,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,acridoidea,koníky,acrididae,koníkovité,oedipoda,koník,,
species,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,acridoidea,koníky,acrididae,koníkovité,oedipoda,koník,oedipoda coerulescens,koník modrokrídly
genus,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,acridoidea,koníky,acrididae,koníkovité,sphingonotus,koník,,
species,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,acridoidea,koníky,acrididae,koníkovité,sphingonotus,koník,sphingonotus caerulans,koník belasokrídly
genus,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,acridoidea,koníky,acrididae,koníkovité,mecostethus,koník,,
species,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,acridoidea,koníky,acrididae,koníkovité,mecostethus,koník,mecostethus grossus,koník žltopásy
genus,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,acridoidea,koníky,acrididae,koníkovité,acrida,koník,,
species,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,acridoidea,koníky,acrididae,koníkovité,acrida,koník,acrida hungarica,koník stepný
genus,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,acridoidea,koníky,acrididae,koníkovité,stenobothrus,koník,,
species,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,acridoidea,koníky,acrididae,koníkovité,stenobothrus,koník,stenobothrus lineatus,koník čiarkovaný
genus,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,acridoidea,koníky,acrididae,koníkovité,omocestus,koník,,
species,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,acridoidea,koníky,acrididae,koníkovité,omocestus,koník,omocestus viridulus,koník zelený
genus,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,acridoidea,koníky,acrididae,koníkovité,chorthippus,koník,,
species,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,acridoidea,koníky,acrididae,koníkovité,chorthippus,koník,chorthippus brunneus,koník hnedý
species,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,acridoidea,koníky,acrididae,koníkovité,chorthippus,koník,chorthippus biguttulus,koník obyčajný
species,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,acridoidea,koníky,acrididae,koníkovité,chorthippus,koník,chorthippus mollis,koník suchomilný
species,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,acridoidea,koníky,acrididae,koníkovité,chorthippus,koník,chorthippus longicornis,koník dlhotykadlový
species,saltatoria,rovnokrídlovce,tettigonioidea,kobylky,acridoidea,koníky,acrididae,koníkovité,chorthippus,koník,chorthippus montanus,koník lúčny
order,phasmida,pakobylky,,,,,,,,,,
family,phasmida,pakobylky,,,,,bacillidae,pakobylkovité,,,,
genus,phasmida,pakobylky,,,,,bacillidae,pakobylkovité,bacillus,pakobylka,,
species,phasmida,pakobylky,,,,,bacillidae,pakobylkovité,bacillus,pakobylka,bacillus rossi,pakobylka štíhla
family,phasmida,pakobylky,,,,,lonchodidae,,,,,
genus,phasmida,pakobylky,,,,,lonchodidae,,carausius,pakobylka,,
species,phasmida,pakobylky,,,,,lonchodidae,,carausius,pakobylka,carausius morosus,pakobylka obyčajná
family,phasmida,pakobylky,,,,,phylliidae,listovkovité,,,,
genus,phasmida,pakobylky,,,,,phylliidae,listovkovité,phyllium,listovka,,
species,phasmida,pakobylky,,,,,phylliidae,listovkovité,phyllium,listovka,phyllium siccifolium,listovka zelená
order,dermaptera,ucholaky,,,,,,,,,,
genus,dermaptera,ucholaky,,,,,,,labidura,ucholak,,
species,dermaptera,ucholaky,,,,,,,labidura,ucholak,labidura riparia,ucholak pieskový
genus,dermaptera,ucholaky,,,,,,,labia,ucholak,,
species,dermaptera,ucholaky,,,,,,,labia,ucholak,labia minor,ucholak malý
genus,dermaptera,ucholaky,,,,,,,anechura,ucholak,,
species,dermaptera,ucholaky,,,,,,,anechura,ucholak,anechura bipunctata,ucholak dvojbodkový
genus,dermaptera,ucholaky,,,,,,,chelidurella,ucholak,,
species,dermaptera,ucholaky,,,,,,,chelidurella,ucholak,chelidurella acanthopygia,ucholak bezkrídly
genus,dermaptera,ucholaky,,,,,,,apterygida,ucholak,,
species,dermaptera,ucholaky,,,,,,,apterygida,ucholak,apterygida media,ucholak prostredný
genus,dermaptera,ucholaky,,,,,,,forficula,ucholak,,
species,dermaptera,ucholaky,,,,,,,forficula,ucholak,forficula auricularia,ucholak obyčajný
order,mantidea,modlivky,,,,,,,,,,
family,mantidea,modlivky,,,,,mantidae,modlivkovité,,,,
genus,mantidea,modlivky,,,,,mantidae,modlivkovité,mantis,modlivka,,
species,mantidea,modlivky,,,,,mantidae,modlivkovité,mantis,modlivka,mantis religiosa,modlivka zelená
order,blattidea,šváby,,,,,,,,,,
family,blattidea,šváby,,,,,blattidae,švábovité,,,,
genus,blattidea,šváby,,,,,blattidae,švábovité,ectobius,švábik,,
species,blattidea,šváby,,,,,blattidae,švábovité,ectobius,švábik,ectobius lapponicus,švábik tmavoštíty
species,blattidea,šváby,,,,,blattidae,švábovité,ectobius,švábik,ectobius sylvestris,švábik hôrny
genus,blattidea,šváby,,,,,blattidae,švábovité,hololampra,švábik,,
species,blattidea,šváby,,,,,blattidae,švábovité,hololampra,švábik,hololampra maculata,švábik škvrnitý
genus,blattidea,šváby,,,,,blattidae,švábovité,blatella,rus,,
species,blattidea,šváby,,,,,blattidae,švábovité,blatella,rus,blatella germanica,rus domový
genus,blattidea,šváby,,,,,blattidae,švábovité,blatta,šváb,,
species,blattidea,šváby,,,,,blattidae,švábovité,blatta,šváb,blatta orientalis,šváb obyčajný
genus,blattidea,šváby,,,,,blattidae,švábovité,periplaneta,šváb,,
species,blattidea,šváby,,,,,blattidae,švábovité,periplaneta,šváb,periplaneta americana,šváb americký
order,isoptera,termity,,,,,,,,,,
family,isoptera,termity,,,,,rhinotermitidae,,,,,
genus,isoptera,termity,,,,,rhinotermitidae,,reticulitermes,termit,,
species,isoptera,termity,,,,,rhinotermitidae,,reticulitermes,termit,reticulitermes lucifugus,termit tmavomilný
family,isoptera,termity,,,,,calotermitidae,,,,,
genus,isoptera,termity,,,,,calotermitidae,,calotermes,termit,,
species,isoptera,termity,,,,,calotermitidae,,calotermes,termit,calotermes flavicollis,termit žltokrký
family,isoptera,termity,,,,,termitidae,,,,,
genus,isoptera,termity,,,,,termitidae,,termes,termit,,
species,isoptera,termity,,,,,termitidae,,termes,termit,termes bellicosus,termit bojovný
species,isoptera,termity,,,,,termitidae,,termes,termit,termes goliath,termit obrovský
genus,isoptera,termity,,,,,termitidae,,leucotermes,termit,,
species,isoptera,termity,,,,,termitidae,,leucotermes,termit,leucotermes flavipes,termit ničivý
order,zoraptera,zoraptery,,,,,,,,,,
family,zoraptera,zoraptery,,,,,zorotypidae,zorapterovité,,,,
genus,zoraptera,zoraptery,,,,,zorotypidae,zorapterovité,zorotypus,zoraptera,,
species,zoraptera,zoraptery,,,,,zorotypidae,zorapterovité,zorotypus,zoraptera,zorotypus guineensis,zoraptera guinejská
order,copeognatha,pavši,,,,,,,,,,
family,copeognatha,pavši,,,,,psocidae,pavšovité,,,,
genus,copeognatha,pavši,,,,,psocidae,pavšovité,psococerastis,pavoš,,
species,copeognatha,pavši,,,,,psocidae,pavšovité,psococerastis,pavoš,psococerastis gibbosus,pavoš veľká
genus,copeognatha,pavši,,,,,psocidae,pavšovité,metylophorus,pavoš,,
species,copeognatha,pavši,,,,,psocidae,pavšovité,metylophorus,pavoš,metylophorus nebulosus,pavoš hnedokrídla
genus,copeognatha,pavši,,,,,psocidae,pavšovité,psocus,pavoš,,
species,copeognatha,pavši,,,,,psocidae,pavšovité,psocus,pavoš,psocus bipunctatus,pavoš dvojbodková
genus,copeognatha,pavši,,,,,psocidae,pavšovité,loensia,pavoš,,
species,copeognatha,pavši,,,,,psocidae,pavšovité,loensia,pavoš,loensia fasciata,pavoš fŕkaná
genus,copeognatha,pavši,,,,,psocidae,pavšovité,oreopsocus,pavoš,,
species,copeognatha,pavši,,,,,psocidae,pavšovité,oreopsocus,pavoš,oreopsocus montanus,pavoš vrchovská
genus,copeognatha,pavši,,,,,psocidae,pavšovité,amphigerontia,pavoš,,
species,copeognatha,pavši,,,,,psocidae,pavšovité,amphigerontia,pavoš,amphigerontia bifasciata,pavoš pásikavá
species,copeognatha,pavši,,,,,psocidae,pavšovité,amphigerontia,pavoš,amphigerontia contaminata,pavoš sadová
family,copeognatha,pavši,,,,,mesopsocidae,,,,,
genus,copeognatha,pavši,,,,,mesopsocidae,,mesopsocus,pavoš,,
species,copeognatha,pavši,,,,,mesopsocidae,,mesopsocus,pavoš,mesopsocus unipunctatus,pavoš pestrá
family,copeognatha,pavši,,,,,peripsocidae,,,,,
genus,copeognatha,pavši,,,,,peripsocidae,,peripsocus,pavoš,,
species,copeognatha,pavši,,,,,peripsocidae,,peripsocus,pavoš,peripsocus alboguttatus,pavoš škvrnitá
family,copeognatha,pavši,,,,,pterodelidae,,,,,
genus,copeognatha,pavši,,,,,pterodelidae,,lachesilla,pavoš,,
species,copeognatha,pavši,,,,,pterodelidae,,lachesilla,pavoš,lachesilla pedicularia,pavoš obyčajná
species,copeognatha,pavši,,,,,pterodelidae,,lachesilla,pavoš,lachesilla quercus,pavoš dubová
family,copeognatha,pavši,,,,,caeciliidae,,,,,
genus,copeognatha,pavši,,,,,caeciliidae,,caecilius,pavoš,,
species,copeognatha,pavši,,,,,caeciliidae,,caecilius,pavoš,caecilius flavidus,pavoš žltá
species,copeognatha,pavši,,,,,caeciliidae,,caecilius,pavoš,caecilius piceus,pavoš tmavá
species,copeognatha,pavši,,,,,caeciliidae,,caecilius,pavoš,caecilius burmeisteri,pavoš smreková
family,copeognatha,pavši,,,,,liposcelidae,,,,,
genus,copeognatha,pavši,,,,,liposcelidae,,liposcelis,pavoš,,
species,copeognatha,pavši,,,,,liposcelidae,,liposcelis,pavoš,liposcelis divinatorius,pavoš múzejná
family,copeognatha,pavši,,,,,trogidae,,,,,
genus,copeognatha,pavši,,,,,trogidae,,trogium,pavoš,,
species,copeognatha,pavši,,,,,trogidae,,trogium,pavoš,trogium pulsatorium,pavoš bledá
genus,copeognatha,pavši,,,,,trogidae,,lepinotus,pavoš,,
species,copeognatha,pavši,,,,,trogidae,,lepinotus,pavoš,lepinotus inquilinus,pavoš domová
order,mallophaga,švoly,,,,,,,,,,
family,mallophaga,švoly,,,,,philopteridae,periarkovité,,,,
genus,mallophaga,švoly,,,,,philopteridae,periarkovité,goniocotes,periarka,,
species,mallophaga,švoly,,,,,philopteridae,periarkovité,goniocotes,periarka,goniocotes gallinae,periarka slepačia
genus,mallophaga,švoly,,,,,philopteridae,periarkovité,oxylipeurus,periarka,,
species,mallophaga,švoly,,,,,philopteridae,periarkovité,oxylipeurus,periarka,oxylipeurus colchicus,periarka bažantia
genus,mallophaga,švoly,,,,,philopteridae,periarkovité,anaticola,periarka,,
species,mallophaga,švoly,,,,,philopteridae,periarkovité,anaticola,periarka,anaticola anseris,periarka husia
genus,mallophaga,švoly,,,,,philopteridae,periarkovité,columbicola,periarka,,
species,mallophaga,švoly,,,,,philopteridae,periarkovité,columbicola,periarka,columbicola columbae,periarka holubia
genus,mallophaga,švoly,,,,,philopteridae,periarkovité,ornithobius,periarka,,
species,mallophaga,švoly,,,,,philopteridae,periarkovité,ornithobius,periarka,ornithobius cygni,periarka labutia
genus,mallophaga,švoly,,,,,philopteridae,periarkovité,anatoecus,periarka,,
species,mallophaga,švoly,,,,,philopteridae,periarkovité,anatoecus,periarka,anatoecus dentatus,periarka kačacia
genus,mallophaga,švoly,,,,,philopteridae,periarkovité,philopterus,periarka,,
species,mallophaga,švoly,,,,,philopteridae,periarkovité,philopterus,periarka,philopterus ocellatus,periarka vrania
