sciName,commonNameSBM,commonNameINat,differenceCategory
Tradescantia paludosa,tradeskancia močiarna,Tradeskancia Ohijská,proper
Tragopogon pratensis,kozia brada lúčna,Kozobrada Lúčna,proper
Traunsteinera globosa,vstavačovka hlavatá,Pavstavač Hlavatý,proper
Trichodiadema intonsum,diadémovka zarastená,Trichodiadéma Hľuznatá,proper
Trifolium aureum,ďatelina zlatožltá,Ďatelinka Zlatožltá,proper
Trimeniaceae,triméniovité,Trimeniovité,diacritics
Trimezia,trimézia,Neomarika,proper
Turbinicarpus,turbinikarpus,Kadenikarpus,proper
Ulmus laevis,brest lužný,Brest Väzový,proper
Ulmus pumila,brest drobnolistý,Brest Sibírsky,proper
Utricularia bremii,bublinatka Bremiho,Bublinatka Bremova,proper
Utricularia minor,bublinatka menšia,Bublinatka Najmenšia,proper
Uvaria,uvária,Medolist,proper
Vaccaria hispanica,kraviarka ihlanovitá,Gypsomilka Kraviarkovitá,proper
Vaccinium myrtillus,čučoriedka obyčajná,Brusnica Čučoriedková,proper
Veronica austriaca,veronika rakúska,Veronika Hrdobarkovitá,proper
Veronica filiformis,veronika niťovitá,Veronika Nitkovitá,proper
Veronica prostrata,veronika rozprestretá,Veronika Rozprestrená,proper
Viburnum lantana,kalina plstnatá,Kalina Siripútková,proper
Viburnum rhytidophyllum,kalina vráskavolistá,Kalina Vráskolistá,proper
Vicia dalmatica,vika dalmátska,Vika Dalmatská,diacritics
Vicia oreophila,vika horská,Vika Vtáčia,proper
Vicia,"vika, bôb",Vika,proper
Viola elatior,fialka vyvýšená,Fialka Vyššia,proper
Wisteria floribunda,vistéria japonská,Vistéria Kvetnatá,proper
Withania,vitánia,Machovkovec,proper
Wolffia arrhiza,drobnuľka bezkoreňová,Drobuľka Bezkoreňová,proper
Zephyranthes,zefyrovka,Sprekélia,proper
