
sciName,commonNameSBM,commonNameINat,differenceCategory
Physalis franchetii,machovka Franchettova,Machovka Čerešňová,proper
Picea omorika,smrek balkánsky,Smrek Omorikový,proper
Picris hieracioides,horčík jastrabníkovitý,Horčík Jastrabníkolistý,proper
Pieris,pieris,Mlynárik,proper
Pinus cembra,borovica vrchovská,Borovica Limbová,proper
Pinus edulis,borovica jedlá,Borovica Sladká,proper
Pistacia terebinthus,pistácia terpentínová,Pistácia Terebintová,proper
Plumbago,olovník,Rohoblizník,proper
Poa crassipes,lipnica vršatská,Lipnica Cibuľkatá,proper
Podospermum canum,hadí koreň sivý,Hadokoreň Sivý,proper
Poeciloneuron,putang,Agastiana,proper
Polygala amarella,horčinka horkastá,Hočinka Horkastá,proper
Polygala comosa,horčinka chochlatá,Horčinka Chocholatá,proper
Pontederia,pontedéria,Plaváčik,proper
Populus tremula,topoľ trasľavý,Topoľ Osikový,proper
Populus ussuriensis,topoľ ussurijský,Topoľ Príjemný,proper
Potentilla aurea,nátržník zlatý,Mochna Zlatá,proper
Potentilla neumanniana,nátržník Neumannov,Nátržník Jarný,proper
Potentilla supina,nátržník ležatý,Nátržník Poliehavý,proper
Praecitrullus,tinda,Beninkáza,proper
Procris repens,prokra plazivá,Peliónia Annamská,proper
Protium,prócium,Papučovník,proper
Prunella laciniata,čiernohlávok úkrojkatý,Čiernohlávok Zastrihovaný,proper
Prunus cerasus,višňa obyčajná,Čerešňa Višňová,proper
Prunus mahaleb,mahalebka obyčajná,Čerešňa Mahalebková,proper
Prunus padus,čremcha obyčajná,Čremcha Strapcovitá,proper
Prunus spinosa,trnka obyčajná,Slivka Trnková,proper
Prunus,"slivka, broskyňa, čerešňa, čremcha, mahalebka, mandľa, marhuľa, trnka, vavrínovec, višňa",Slivka,proper
Pseudoturritis turrita,strmobyľka previsnutá,Strmobyľka Ovisnutá,proper
Puccinellia limosa,steblovec močiarny,Steblovec Odstávajúci,proper
Pulicaria dysenterica,blšník úplavičný,Blšník Červienkový,proper
Pulmonaria mollis,pľúcnik mäkký,Pľúcnik Najmäkší,proper
Pulsatilla alpina,poniklec alpínsky,Poniklec Biely,proper
Pulsatilla halleri,poniklec Hallerov,Poniklec Prostredný,proper
Pycnocoma macrophylla,pyknokóma veľkolistá,Pyknokoma Veľkolistá,diacritics
Pycnocoma,pyknokóma,Pyknokoma,diacritics
Pyracantha fortuneana,hlohyňa Fortuneova,Hlohyňa Vrúbkovaná,proper
Pyrus calleryana,hruška Calleryho,Hruška Calleryova,proper
Quercus cerris,dub južný,Dub Cerový,proper
Quercus ilicifolia,dub cezmínolistý,Dub Jadranský,proper
Quercus longipes,dub dlhostopkatý,Dub Sivý,proper
Quercus pedunculiflora,dub sivozelený,Dub Sivý,proper
Quercus pubescens,dub páperistý,Dub Plstnatý,proper
Ranunculus flammula,iskerník plamienkový,Iskerník Plamenný,proper
