rank,sciName,matches
subspecies,Ceratophyllum demersum platyacanthum,"[('Rožkatec Ponorený Plochoostňový', 'Ceratophyllum demersum platyacanthum')]"
subspecies,Chenopodium berlandieri zschackei,"[('Chenopodium berlandieri zschackei', 'Varieta')]"
subspecies,Cichorium intybus foliosum,"[('Čakanka Obyčajná Pravá (Cichorium intybus foliosum)', 'Cichorium intybus intybus')]"
subspecies,Echinocereus longisetus delaetii,"[('Echinocereus delaetii (Echinocereus longisetus delaetii)', 'Druh')]"
subspecies,Erodium cicutarium cicutarium,"[('Bocianik Rozpukovitý (Erodium cicutarium cicutarium)', 'Erodium cicutarium')]"
subspecies,Eucalyptus delegatensis tasmaniensis,"[('Eucalyptus tasmaniensis (Eucalyptus delegatensis tasmaniensis)', 'Druh')]"
subspecies,Euphorbia dulcis purpurata,"[('Mliečnik Sladký (Euphorbia dulcis purpurata)', 'Euphorbia dulcis')]"
subspecies,Festuca rubra commutata,"[('Festuca nigrescens (Festuca rubra commutata)', 'Druh')]"
subspecies,Filago lutescens lutescens,"[('Bielolist Žltkastý (Filago lutescens lutescens)', 'Filago lutescens')]"
subspecies,Gagea bohemica bohemica,"[('Krivec Český (Gagea bohemica bohemica)', 'Gagea bohemica')]"
subspecies,Galium parisiense anglicum,"[('Galium anglicum (Galium parisiense anglicum)', 'Druh')]"
subspecies,Gentianella obtusifolia norica,"[('Horček Drsný (Gentianella obtusifolia norica)', 'Gentianella obtusifolia')]"
subspecies,Gentianella obtusifolia sturmiana,"[('Horček Drsný (Gentianella obtusifolia sturmiana)', 'Gentianella obtusifolia')]"
subspecies,Hedera helix helix,"[('Hedera helix helix', 'Forma')]"
subspecies,Heracleum sphondylium sibiricum,"[('Heracleum sibiricum (Heracleum sphondylium sibiricum)', 'Druh')]"
subspecies,Huperzia selago selago,"[('Huperzia selago selago', 'Varieta')]"
subspecies,Juncus bulbosus bulbosus,"[('Sitina Cibuľkatá (Juncus bulbosus bulbosus)', 'Juncus bulbosus')]"
subspecies,Juncus bulbosus kochii,"[('Sitina Cibuľkatá (Juncus bulbosus kochii)', 'Juncus bulbosus')]"
subspecies,Juniperus communis communis,"[('Juniperus communis communis', 'Varieta')]"
