rank,family_scientific,family_common,genus_scientific,genus_common,genushybrid_scientific,genushybrid_common,section_scientific,section_common,species_scientific,species_common,hybrid_scientific,hybrid_common,subspecies_hybrid_scientific,subspecies_hybrid_common,subspecies_scientific,subspecies_common,group_scientific,group_common,variety_scientific,variety_common,form_scientific,form_common,scientific_synonyms_sbm,slovak_synonyms_sbm,is_taxon_questionable
species,Fabaceae,,,,,,,,Acacia heterophylla,akácia rôznolistá,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acacia implexa,akácia posplietaná,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acacia insolita,akácia nezvyčajná,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acacia kempeana,akácia Kempeho,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acacia koa,akácia havajská,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acacia koaia,akácia koovitá,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acacia latifolia,akácia širokolistá,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acacia leiophylla,akácia hladkolistá,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acacia longifolia,akácia dlholistá,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acacia mearnsii,akácia Mearnsova,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acacia melanoxylon,akácia čiernodrevá,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acacia montana,akácia horská,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acacia obliquinervia,akácia kosožilová,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acacia omalophylla,akácia plocholistá,,,,,,,,,,,,,['Acacia homalophylla'],[],False
species,Fabaceae,,,,,,,,Acacia paradoxa,akácia ozbrojená,,,,,,,,,,,,,['Acacia armata'],[],False
species,Fabaceae,,,,,,,,Acacia plectocarpa,akácia zvlnenoplodá,,,,,,,,,,,,,['Acacia numerosa'],['akácia početná'],False
species,Fabaceae,,,,,,,,Acacia pycnantha,akácia hustokvetá,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acacia retinoides,akácia mnohokvetá,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acacia saligna,akácia vŕbovitá,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acacia stereophylla,akácia tuholistá,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acacia suaveolens,akácia voňavá,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acacia tetragonophylla,akácia štvorhranná,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acacia tindaleae,akácia Tindalova,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acacia trinervata,akácia trojžilová,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acacia truncata,akácia uťatá,,,,,,,,,,,,,['Acacia decipiens'],[],False
species,Fabaceae,,,,,,,,Acacia verticillata,akácia praslenatá,,,,,,,,,,,,,[],[],False
genus,Fabaceae,,Acaciella,akaciela,,,,,,,,,,,,,,,,,,,[],[],False
species,Fabaceae,,,,,,,,Acaciella glauca,akaciela sivá,,,,,,,,,,,,,['Leucaena glauca'],[],False
genus,Rosaceae,,Acaena,acéna,,,,,,,,,,,,,,,,,,,[],[],False
species,Rosaceae,,,,,,,,Acaena argentea,acéna striebristá,,,,,,,,,,,,,[],[],False
species,Rosaceae,,,,,,,,Acaena buchananii,acéna Buchananova,,,,,,,,,,,,,[],[],False
species,Rosaceae,,,,,,,,Acaena cylindristachya,acéna valcovitá,,,,,,,,,,,,,[],[],False
species,Rosaceae,,,,,,,,Acaena magellanica,acéna magalhaeská,,,,,,,,,,,,,[],[],False
species,Rosaceae,,,,,,,,Acaena microphylla,acéna drobnolistá,,,,,,,,,,,,,[],[],False
species,Rosaceae,,,,,,,,Acaena novae-zelandiae,acéna novozélandská,,,,,,,,,,,,,[],[],False
genus,Euphorbiaceae,,Acalypha,akalyfa,,,,,,,,,,,,,,,,,,,[],[],False
species,Euphorbiaceae,,,,,,,,Acalypha chamaedrifolia,akalyfa veronikolistá,,,,,,,,,,,,,['Acalypha hispaniolae'],[],False
species,Euphorbiaceae,,,,,,,,Acalypha communis,akalyfa bežná,,,,,,,,,,,,,[],[],False
species,Euphorbiaceae,,,,,,,,Acalypha hispida,akalyfa srstnatá,,,,,,,,,,,,,[],[],False
species,Euphorbiaceae,,,,,,,,Acalypha indica,akalyfa indická,,,,,,,,,,,,,[],[],False
species,Euphorbiaceae,,,,,,,,Acalypha pendula,akalyfa previsnutá,,,,,,,,,,,,,[],[],False
species,Euphorbiaceae,,,,,,,,Acalypha virginica,akalyfa virgínska,,,,,,,,,,,,,[],[],False
species,Euphorbiaceae,,,,,,,,Acalypha wilkesiana,akalyfa Wilkesova,,,,,,,,,,,,,[],[],False
genus,Cactaceae,,Acanthocalycium,ostníkatec,,,,,,,,,,,,,,,,,,,[],[],False
species,Cactaceae,,,,,,,,Acanthocalycium leucanthum,ostníkatec bielokvetý,,,,,,,,,,,,,"['Echinopsis campylacantha', 'Echinopsis leucantha']",[],False
species,Cactaceae,,,,,,,,Acanthocalycium spiniflorum,ostníkatec fialový,,,,,,,,,,,,,['Acanthocalycium violaceum'],[],False
species,Cactaceae,,,,,,,,Acanthocalycium thionanthum,ostníkatec sírovokvetý,,,,,,,,,,,,,[],[],False
subspecies,Cactaceae,,,,,,,,,,,,,,Acanthocalycium thionanthum ferrarii,ostníkatec sírovokvetý Ferrariho,,,,,,,['Acanthocalycium ferrarii'],[],False
genus,Morinaceae,,Acanthocalyx,ostňohlávok,,,,,,,,,,,,,,,,,,,[],[],False
species,Morinaceae,,,,,,,,Acanthocalyx nepalensis,ostňohlávok nepálsky,,,,,,,,,,,,,[],[],False
genus,Cactaceae,,Acanthocereus,akantocereus,,,,,,,,,,,,,,,,,,,[],[],False
species,Cactaceae,,,,,,,,Acanthocereus tetragonus,akantocereus štvorrebrový,,,,,,,,,,,,,[],[],False
genus,Polemoniaceae,,Acanthogilia,akantogília,,,,,,,,,,,,,,,,,,,[],[],False
species,Polemoniaceae,,,,,,,,Acanthogilia gloriosa,akantogília honosná,,,,,,,,,,,,,[],[],False
genus,Plumbaginaceae,,Acantholimon,ostňolist,,,,,,,,,,,,,,,,,,,[],[],False
species,Plumbaginaceae,,,,,,,,Acantholimon glumaceum,ostňolist nadutý,,,,,,,,,,,,,[],[],False
species,Plumbaginaceae,,,,,,,,Acantholimon oliveri,ostňolist Oliverov,,,,,,,,,,,,,[],[],False
species,Plumbaginaceae,,,,,,,,Acantholimon venustum,ostňolist spanilý,,,,,,,,,,,,,[],[],False
genus,Acanthaceae,,Acanthopale,akantopala,,,,,,,,,,,,,,,,,,,[],[],False
species,Acanthaceae,,,,,,,,Acanthopale decempedalis,akantopala desaťstopová,,,,,,,,,,,,,[],[],False
genus,Cucurbitaceae,,Acanthosicyos,naras,,,,,,,,,,,,,,,,,,,[],[],False
species,Cucurbitaceae,,,,,,,,Acanthosicyos horridus,naras hrozný,,,,,,,,,,,,,[],[],False
genus,Arecaceae,,Acanthophoenix,datľovček,,,,,,,,,,,,,,,,,,,[],[],False
species,Arecaceae,,,,,,,,Acanthophoenix rubra,datľovček červený,,,,,,,,,,,,,[],[],False
genus,Asteraceae,,Acanthospermum,lopušník,,,,,,,,,,,,,,,,,,,[],[],False
species,Asteraceae,,,,,,,,Acanthospermum humile,lopušník nízky,,,,,,,,,,,,,[],[],False
genus,Bromeliaceae,,Acanthostachys,ostňoklas,,,,,,,,,,,,,,,,,,,[],[],False
species,Bromeliaceae,,,,,,,,Acanthostachys strobilacea,ostňoklas šišticovitý,,,,,,,,,,,,,[],[],False
genus,Santalaceae,,Acanthosyris,akantosyra,,,,,,,,,,,,,,,,,,,[],[],False
species,Santalaceae,,,,,,,,Acanthosyris spinescens,akantosyra tŕnitá,,,,,,,,,,,,,[],[],False
genus,Acanthaceae,,Acanthus,akant,,,,,,,,,,,,,,,,,,,[],[],False
species,Acanthaceae,,,,,,,,Acanthus arboreus,akant stromovitý,,,,,,,,,,,,,[],[],False
species,Acanthaceae,,,,,,,,Acanthus hungaricus,akant uhorský,,,,,,,,,,,,,['Acanthus balcanicus'],[],False
species,Acanthaceae,,,,,,,,Acanthus mollis,akant mäkký,,,,,,,,,,,,,['Acanthus longifolius'],[],False
species,Acanthaceae,,,,,,,,Acanthus montanus,akant horský,,,,,,,,,,,,,[],[],False
species,Acanthaceae,,,,,,,,Acanthus spinosus,akant tŕnitý,,,,,,,,,,,,,[],[],False
genus,Myrtaceae,,Acca,aka,,,,,,,,,,,,,,,,,,,['Feioja'],[],False
species,Myrtaceae,,,,,,,,Acca sellowiana,aka ovocná,,,,,,,,,,,,,['Feijoa sellowiana'],[],False
genus,Sapindaceae,,Acer,javor,,,,,,,,,,,,,,,,,,,['Negundo'],[],False
species,Sapindaceae,,,,,,,,Acer argutum,javor ostrý,,,,,,,,,,,,,[],[],False
species,Sapindaceae,,,,,,,,Acer buergerianum,javor Bürgerov,,,,,,,,,,,,,[],[],False
species,Sapindaceae,,,,,,,,Acer campestre,javor poľný,,,,,,,,,,,,,[],[],False
variety,Sapindaceae,,,,,,,,,,,,,,,,,,Acer campestre campestre,javor poľný pravý,,,"['Acer campestre subsp. campestre', 'Acer campestre subsp. hebecarpum']",[],False
variety,Sapindaceae,,,,,,,,,,,,,,,,,,Acer campestre leiocarpum,javor poľný hladkoplodý,,,[],[],False
species,Sapindaceae,,,,,,,,Acer capillipes,javor tenkostopkatý,,,,,,,,,,,,,[],[],False
species,Sapindaceae,,,,,,,,Acer cappadocicum,javor kapadócky,,,,,,,,,,,,,[],[],False
species,Sapindaceae,,,,,,,,Acer carpinifolium,javor hrabolistý,,,,,,,,,,,,,[],[],False
species,Sapindaceae,,,,,,,,Acer caudatum,javor chvostnatý,,,,,,,,,,,,,[],[],False
species,Sapindaceae,,,,,,,,Acer circinatum,javor veľkokvetý,,,,,,,,,,,,,[],[],False
species,Sapindaceae,,,,,,,,Acer cissifolium,javor viničolistý,,,,,,,,,,,,,[],[],False
species,Sapindaceae,,,,,,,,Acer crataegifolium,javor hloholistý,,,,,,,,,,,,,[],[],False
species,Sapindaceae,,,,,,,,Acer davidii,javor Davidov,,,,,,,,,,,,,[],[],False
subspecies,Sapindaceae,,,,,,,,,,,,,,Acer davidii grosseri,javor Davidov Grosserov,,,,,,,['Acer grosseri'],[],False
species,Sapindaceae,,,,,,,,Acer diabolicum,javor diabolský,,,,,,,,,,,,,[],[],False
species,Sapindaceae,,,,,,,,Acer glabrum,javor holý,,,,,,,,,,,,,[],[],False
species,Sapindaceae,,,,,,,,Acer granatense,javor granadský,,,,,,,,,,,,,['Acer opalus subsp. granatense'],[],False
species,Sapindaceae,,,,,,,,Acer grandidentatum,javor veľkozubý,,,,,,,,,,,,,[],[],False
species,Sapindaceae,,,,,,,,Acer griseum,javor šedý,,,,,,,,,,,,,[],[],False
species,Sapindaceae,,,,,,,,Acer heldreichii,javor balkánsky,,,,,,,,,,,,,[],[],False
species,Sapindaceae,,,,,,,,Acer henryi,javor Henryho,,,,,,,,,,,,,[],[],False
species,Sapindaceae,,,,,,,,Acer hyrcanum,javor hyrkánsky,,,,,,,,,,,,,[],[],False
species,Sapindaceae,,,,,,,,Acer japonicum,javor japonský,,,,,,,,,,,,,[],[],False
species,Sapindaceae,,,,,,,,Acer laurinum,javor vavrínolistý,,,,,,,,,,,,,['Acer niveum'],[],False
species,Sapindaceae,,,,,,,,Acer leucoderme,javor bielokôry,,,,,,,,,,,,,[],[],False
species,Sapindaceae,,,,,,,,Acer lobelii,javor Lobelov,,,,,,,,,,,,,[],[],False
species,Sapindaceae,,,,,,,,Acer macrophyllum,javor veľkolistý,,,,,,,,,,,,,[],[],False
species,Sapindaceae,,,,,,,,Acer mandshuricum,javor mandžuský,,,,,,,,,,,,,[],[],False
species,Sapindaceae,,,,,,,,Acer micranthum,javor drobnokvetý,,,,,,,,,,,,,[],[],False
species,Sapindaceae,,,,,,,,Acer miyabei,javor Miyabeho,,,,,,,,,,,,,[],[],False
species,Sapindaceae,,,,,,,,Acer monspessulanum,javor montpelliersky,,,,,,,,,,,,,[],[],False
species,Sapindaceae,,,,,,,,Acer negundo,javor jaseňolistý,,,,,,,,,,,,,"['Negundo aceroides', 'Negundo fraxinifolia']",[],False
variety,Sapindaceae,,,,,,,,,,,,,,,,,,Acer negundo californicum,javor jaseňolistý kalifornský,,,['Acer californicum'],[],False
species,Sapindaceae,,,,,,,,Acer nigrum,javor čierny,,,,,,,,,,,,,[],[],False
species,Sapindaceae,,,,,,,,Acer nikoense,javor nikkósky,,,,,,,,,,,,,['Acer maximowiczianum'],[],False
species,Sapindaceae,,,,,,,,Acer oliverianum,javor Oliverov,,,,,,,,,,,,,[],[],False
species,Sapindaceae,,,,,,,,Acer opalus,javor kalinolistý,,,,,,,,,,,,,[],[],False
subspecies,Sapindaceae,,,,,,,,,,,,,,Acer opalus obtusatum,javor kalinolistý tupolistý,,,,,,,['Acer obtusatum'],[],False
species,Sapindaceae,,,,,,,,Acer orientale,javor východný,,,,,,,,,,,,,['Acer creticum'],[],False
species,Sapindaceae,,,,,,,,Acer palmatum,javor dlaňovitolistý,,,,,,,,,,,,,['Acer palmatum var. coreanum'],[],False
species,Sapindaceae,,,,,,,,Acer pensylvanicum,javor pensylvánsky,,,,,,,,,,,,,[],[],False
species,Sapindaceae,,,,,,,,Acer pictum,javor pomaľovaný,,,,,,,,,,,,,[],[],False
subspecies,Sapindaceae,,,,,,,,,,,,,,Acer pictum mayrii,javor pomaľovaný Mayrov,,,,,,,['Acer mayrii'],[],False
subspecies,Sapindaceae,,,,,,,,,,,,,,Acer pictum mono,javor pomaľovaný pestrý,,,,,,,['Acer mono'],[],False
species,Sapindaceae,,,,,,,,Acer platanoides,javor mliečny,,,,,,,,,,,,,[],[],False
species,Sapindaceae,,,,,,,,Acer pseudoplatanus,javor horský,,,,,,,,,,,,,['Acer pseudoplatanus f. purpurascens'],[],False
species,Sapindaceae,,,,,,,,Acer pseudosieboldianum,javor kórejský,,,,,,,,,,,,,[],[],False
species,Sapindaceae,,,,,,,,Acer pycnanthum,javor hustokvetý,,,,,,,,,,,,,[],[],False
species,Sapindaceae,,,,,,,,Acer rubrum,javor červený,,,,,,,,,,,,,[],[],False
species,Sapindaceae,,,,,,,,Acer rufinerve,javor hrdzavožilový,,,,,,,,,,,,,[],[],False
